soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,aciklama,ders_ad
"Bu parçaya göre, yazarın 'sessizlik de bir dildir' ifadesiyle anlatmak istediği aşağıdakilerden hangisidir? 'İnsan bazen en derin duygularını sessizliğe emanet eder; çünkü kelimeler o yükü taşıyamaz.'","Duygular ancak kelimelerle anlatılabilir.","Sessizlik, anlamın derinleştiği bir iletişim biçimidir.","Sessizlik iletişimi koparır.","Söz, sessizliğin karşıtıdır.","","B",5,"Paragraf Yorumu,Anlam Derinliği","Soyut düşünme, mecaz ve anlam çıkarımı gerektirir.","Türkçe"
"Bu parçada geçen 'anlamın yankısı' ifadesiyle aşağıdakilerden hangisi vurgulanmıştır? 'Bir cümle bittiğinde anlam bitmez; okurun zihninde yankılanmaya devam eder.'","Metin sonsuzdur.","Yazarın amacı belirsizdir.","Okurun katkısıyla anlam genişler.","Anlam yazıda kaybolur.","","C",5,"Paragraf,Okur Katılımı","Metin-okur etkileşimi üzerine kurulu modern anlam yorumu.","Türkçe"
"'Her bilgi, bir bilmeyişin gölgesinde büyür.' cümlesinde anlatılan düşünce aşağıdakilerden hangisidir?","Cehalet bilgiyi engeller.","Bilgi, merakın sonucudur.","Bilgi artarsa bilinmezlik azalır.","Bilmek ve bilmemek bir bütündür.","","D",5,"Felsefi Paragraf,Anlam İlişkisi","Soyut kavramsal çıkarım gerektiren paragraf.","Türkçe"
"'Bir kelimenin ağırlığı, onu söyleyenin sessizliğinden gelir.' ifadesinde hangi sanat vardır?","Tezat","Kişileştirme","Benzetme","Abartma","","A",5,"Söz Sanatları,Paragraf Yorumu","Zıtlık sanatı; anlam karşıtlıkla güçlendirilmiştir.","Türkçe"
"'Yazarın dili durağan ama anlamı devinimlidir.' cümlesinde anlatılmak istenen aşağıdakilerden hangisidir?","Üslup ağırdır.","Dil sade, anlam derindir.","Yazar anlatım bozukluğu yapmıştır.","Kelimeler gereksizdir.","","B",5,"Üslup,Anlam İlişkisi","Üslup ve anlam karşıtlığıyla anlatım.","Türkçe"
"'Bir düşünce, sorgulanmadan kabul edilirse sahip değil, tutsağı olunur.' ifadesinde vurgulanan düşünce nedir?","Eleştirel düşünme gereklidir.","Bilgi sorgulanmadan da değerlidir.","Fikirler değişmez.","Toplum bireyi yönlendirir.","","A",5,"Paragraf,Eleştirel Düşünme","Modern düşünme becerisi ölçülür.","Türkçe"
"'Okur, metne kendi hikâyesini katarsa anlam çoğalır.' yargısına göre aşağıdakilerden hangisi çıkarılamaz?","Okur anlam üretir.","Yazarın niyeti sabittir.","Anlam değişkendir.","Okuma etkin bir süreçtir.","","B",5,"Paragraf Yorumu,Okur Merkezli","Metin-yorum ilişkisi vurgulanır.","Türkçe"
"'Bir roman, yalnızca anlatılan hikâye değil, anlatanın da hikâyesidir.' ifadesinde anlatılan nedir?","Roman öznel bir türdür.","Roman nesneldir.","Roman toplumsal gerçeği aktarır.","Roman yalnızca olay örgüsüdür.","","A",5,"Edebiyat Bilgisi,Anlatıcı","Metin içi özne kavramı.","Türkçe"
"'Zamanın değeri, onu hangi duyguyla yaşadığına bağlıdır.' ifadesinde vurgulanan nedir?","Zaman herkes için aynıdır.","Zamanın değeri öznel bir algıdır.","Zaman duygulardan bağımsızdır.","Zamanın ölçüsü sabittir.","","B",5,"Paragraf,Anlam","Soyut zaman kavramı üzerine yorum.","Türkçe"
"'Kelimeler, anlamın kabuğudur; özünü korumak okuyucuya düşer.' cümlesinde vurgulanan düşünce nedir?","Anlam sabittir.","Anlam bağlama göre değişir.","Kelimeler anlamı gizler.","Yazar anlamı belirler.","","C",5,"Paragraf,Anlam Katmanları","Okur merkezli yorum gerektirir.","Türkçe"
"'Bir cümlenin anlamı, onu kim söylediğine göre değişir.' ifadesinde hangi kavram ön plandadır?","Bağlam","Üslup","Ton","Özne","","A",5,"Sözcükte Anlam,Bağlam","Anlam, bağlama bağlıdır.","Türkçe"
"'Yazar, kelimeleri değil sessizliği konuşturur.' ifadesinde anlatım biçimi hangisidir?","Betimleme","Öyküleme","Düşünceyi geliştirme","Soyutlama","","D",5,"Anlatım Biçimi,Soyutlama","Soyut anlatım tarzı kullanılmıştır.","Türkçe"
"'Bir dil, insanın kaderidir.' cümlesinde vurgulanan nedir?","Dil kişiliği biçimlendirir.","Dil değişmez.","Dil iletişim aracıdır.","Dil soyut bir kavramdır.","","A",5,"Dil Felsefesi,Paragraf","Dil-düşünce ilişkisi vurgulanır.","Türkçe"
"'Anlatımın gücü, söylenmeyende saklıdır.' ifadesinde anlatılan nedir?","Anlatım gizemlidir.","Susmak anlatımdır.","Dolaylı anlatım anlamı güçlendirir.","Açık anlatım tercih edilmelidir.","","C",5,"Anlatım Özellikleri,Paragraf Yorumu","Anlatım ekonomisi üzerine düşünme.","Türkçe"
"'Sanat, görünmeyeni görünür kılma çabasıdır.' sözüyle vurgulanan düşünce nedir?","Sanat taklittir.","Sanat yaratmadır.","Sanat eğlencedir.","Sanat toplumsaldır.","","B",5,"Sanat ve Düşünce,Paragraf","Sanatın işlevine dair soyut yorum.","Türkçe"
"'Yazar, cümleleriyle değil, kurduğu sessizliklerle anlam yaratır.' ifadesi hangi sanat anlayışını yansıtır?","Minimalizm","Sürrealizm","Realizm","Klasisizm","","A",5,"Sanat Akımları,Üslup","Modern soyut üslup vurgulanır.","Türkçe"
"'Bir düşünce, duygunun içinde büyürse evrenselleşir.' ifadesinde vurgulanan nedir?","Duygu düşünceden üstündür.","Evrensellik duygusal temelde doğar.","Duygu kişiseldir.","Düşünce sınırlıdır.","","B",5,"Paragraf,Anlam","Soyut-düşünsel ilişki.","Türkçe"
"'İnsan bazen gerçeği susarak anlatır.' ifadesiyle ilgili olarak aşağıdakilerden hangisi söylenemez?","Susmak bir anlatım biçimidir.","Gerçek daima söylenmelidir.","Sessizlik anlam taşır.","Duygular dolaylı anlatılabilir.","","B",5,"Paragraf Yorumu,İleti","Soyut anlam ilişkisi sorgulanır.","Türkçe"
"'Her kelime, içinde bir sessizlik taşır.' ifadesiyle ne vurgulanmaktadır?","Kelimeler anlamı sınırlar.","Anlamın derinliği söylenmeyendedir.","Kelimeler gereksizdir.","Dil duygusuzdur.","","B",5,"Anlam Yorumu,Soyutlama","Anlamın metafizik boyutu.","Türkçe"
"'Bir metin, onu okuyan kadar vardır.' yargısı hangi yaklaşımı yansıtır?","Okur merkezli","Yazar merkezli","Metin merkezli","Toplum merkezli","","A",5,"Edebiyat Kuramı,Anlam","Okurun anlam üretimindeki rolü.","Türkçe"
"'Bir dilin sınırları, dünyanın sınırlarını belirler.' cümlesine göre dil ile ilgili olarak aşağıdakilerden hangisi söylenebilir?","Dil düşünceyi sınırlar.","Dil yalnızca iletişim aracıdır.","Dil kültürden bağımsızdır.","Dil değişmez bir yapıdır.","","A",5,"Dil Felsefesi,Anlam Yorumu","Wittgenstein tarzı düşünsel çıkarım gerektirir.","Türkçe"
"'Okur, yazarın kurduğu evrende kendini bulduğunda metin tamamlanır.' ifadesiyle vurgulanan nedir?","Okur pasif bir unsurdur.","Metin, okurla anlam kazanır.","Yazar tek anlam kaynağıdır.","Anlam metinde gizlidir.","","B",5,"Paragraf Yorumu,Okur Etkileşimi","Modern metin-anlam kuramı yansıtılmıştır.","Türkçe"
"'Bir paragrafın güzelliği, boşluklarında saklıdır.' ifadesinde anlatılmak istenen nedir?","Kelimeler fazladır.","Anlam, söylenmeyende gizlidir.","Boşluklar anlamı yok eder.","Paragraf biçimsel olarak önemlidir.","","B",5,"Paragraf Yapısı,Anlatım","Dolaylı anlatımın estetik etkisi.","Türkçe"
"'Sanatçı, gerçeği yeniden değil yeniden düşündürerek anlatır.' ifadesinde vurgulanan?","Sanat gözlemdir.","Sanat düşünce üretir.","Sanat taklittir.","Sanat doğayı kopyalar.","","B",5,"Sanat Anlayışı,Paragraf","Soyut düşünme gerektiren sanatsal yaklaşım.","Türkçe"
"'Bir kelimenin anlamı, başka bir kelimenin yokluğuyla doğar.' cümlesinde hangi anlam ilişkisi vardır?","Zıtlık","Sebep-sonuç","Koşul","Benzetme","","A",5,"Anlam İlişkisi,Zıtlık","Anlam karşıtlığıyla ifade güçlendirilmiştir.","Türkçe"
"'Yazar, kelimeleri değil, sessizlikleri seçer.' ifadesinde anlatım özelliği nedir?","Yoğunluk","Duruluk","Açıklık","Yalınlık","","A",5,"Anlatım Özellikleri,Üslup","Anlam yoğunluğu ölçülür.","Türkçe"
"'Bir metnin anlamı, okurun yaşantısıyla sınırlıdır.' yargısında aşağıdakilerden hangisi vurgulanmıştır?","Anlam nesneldir.","Anlam öznel ve deneyimsel bir süreçtir.","Yazarın amacı tek geçerlidir.","Metin bağımsızdır.","","B",5,"Paragraf Yorumu,Okur Merkezli","Anlamın göreceliliği vurgulanmıştır.","Türkçe"
"'Zamanın izleri, kelimelerin gölgesinde saklıdır.' ifadesinde sanat türü nedir?","Kişileştirme","Benzetme","Tezat","Abartma","","B",5,"Söz Sanatları,Benzetme","Soyut kavram somutlaştırılmıştır.","Türkçe"
"'Anlam, yalnızca söylenenle değil, söylenmeyenle de kurulur.' ifadesinde aşağıdakilerden hangisi vardır?","Eksiltili anlatım","Dolaylılık","Koşul","Abartı","","B",5,"Anlatım Biçimi,Dolaylılık","Anlam üretiminde örtülülük vurgulanır.","Türkçe"
"'Bir düşünceyi savunmanın ilk koşulu, onu anlamaktır.' ifadesinde vurgulanan nedir?","Eleştirel düşünme","Ezbercilik","Dogmatizm","İtaat","","A",5,"Paragraf,Eleştirel Düşünme","Bilgiyi sorgulama becerisi ölçülür.","Türkçe"
"'Her cümle, bir susmanın ardında doğar.' cümlesinde hangi anlatım özelliği ön plandadır?","Yoğunluk","Duruluk","Kişileştirme","Tanımlama","","A",5,"Anlatım Özellikleri,Soyutlama","Soyut düşünme yetisi ölçülür.","Türkçe"
"'Bir şiirin anlamı, okurun sessizliğinde yankılanır.' ifadesi hangi sanat görüşünü yansıtır?","Sembolist","Realist","Klasik","Romantik","","A",5,"Edebiyat Akımları,Sembolizm","Sembolist anlatım biçimi vurgulanır.","Türkçe"
"'Yazarın amacı, okuyucunun düşündüğünü düşündürtmektir.' ifadesinde anlatılan nedir?","Etkileşimli anlam üretimi","Didaktik anlatım","Sanat için sanat","Klasik anlatım","","A",5,"Paragraf,Anlam Üretimi","Modern edebi yaklaşım.","Türkçe"
"'Bir dilin ölümü, düşüncenin susmasıdır.' cümlesinde anlatılan?","Dil düşünceyi taşır.","Dil iletişimdir.","Dil değişmez.","Dil soyuttur.","","A",5,"Dil Felsefesi,Anlam","Dil-düşünce bağı sorgulanır.","Türkçe"
"'Metin, anlamını okurun nefesiyle bulur.' ifadesi neyi gösterir?","Okurun aktifliği","Yazarın önceliği","Metnin bağımsızlığı","Anlamın sabitliği","","A",5,"Okur Kuramı,Anlam","Anlamın okurla tamamlanması.","Türkçe"
"'Bir yazarın en büyük başarısı, okurun suskunluğunda yankılanmaktır.' yargısı neyi vurgular?","Anlamın etkisi","Sözcüklerin gücü","Dilbilgisel doğruluk","Anlatım bozukluğu","","A",5,"Paragraf,Anlam Derinliği","Okurda yankı uyandırma etkisi.","Türkçe"
