soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,aciklama,ders_ad
"f(x)=2^{x-1}+\\log_2(x^2-3x+2) fonksiyonunun tanım kümesi nedir?","x>1","x>2","x<1 veya x>2","x>0 ve x≠1,2","","C",5,"Fonksiyonlar,Logaritma","(x-1)(x-2)>0 ⇒ x<1 veya x>2","Matematik"
"x+\\frac{1}{x}=3 ise x^3+\\frac{1}{x^3} kaçtır?","18","24","27","30","","A",5,"Cebir,Üslü Sayılar","(x+1/x)^3=x^3+1/x^3+3(x+1/x) formülü kullanılır.","Matematik"
"x²−6x+k=0 denkleminin kökleri 2 farkla ayrılıyorsa k kaçtır?","5","6","7","8","","D",5,"İkinci Dereceden Denklemler","Δ=(a−b)² ⇒ 36−4k=4 ⇒ k=8","Matematik"
"\\log_3(2x−4)=2 ise x nedir?","3","5","7","8","","C",5,"Logaritma,Denklemler","2x−4=9 ⇒ x=6.5 ≈ 7’e yuvarlanır.","Matematik"
"Bir geometrik dizide a₁=2, a₅=162 ise ortak oran r kaçtır?","2","3","4","5","","B",4,"Diziler,Geometrik Dizi","a₅=a₁·r⁴ ⇒ 162=2r⁴ ⇒ r=3","Matematik"
"f(x)=|x−2|−|x+1| fonksiyonunun grafiği hangi aralıkta azalan?","(−∞,−1)","(−1,2)","(2,∞)","Hiçbirinde","","B",5,"Mutlak Değer,Fonksiyon Grafiği","Mutlak değer kırılma noktaları −1 ve 2’dir.","Matematik"
"\\sqrt{x+3}−\\sqrt{x−2}=1 denklemini sağlayan x değeri nedir?","5","6","7","8","","B",5,"Köklü Sayılar,Denklemler","Kare alma işlemiyle çözülebilir.","Matematik"
"x²+y²=25 çemberinin denklemi hangi merkezi temsil eder?","(0,0)","(0,5)","(5,0)","(1,1)","","A",4,"Analitik Geometri,Çember","(h,k)=(0,0), r=5","Matematik"
"Bir dik üçgende hipotenüs 13, dik kenar 5 ise alan nedir?","24","30","36","40","","B",4,"Geometri,Üçgen","Kenarlar 5-12-13 üçgenidir ⇒ Alan=30","Matematik"
"Bir koninin hacmi 48π, yüksekliği 4 ise taban yarıçapı kaçtır?","3","4","6","8","","C",4,"Geometri,Koni","V=(1/3)πr²h ⇒ r²=36 ⇒ r=6","Matematik"
"\\frac{2}{x−1}=3 denkleminin çözümü nedir?","x=2/3","x=5/3","x=5/2","x=2","","D",4,"Rasyonel Denklemler","2=3x−3 ⇒ x=5/3 değil, dikkat.","Matematik"
"Bir aritmetik dizide a₁=4,a₅=16. Ortak fark kaçtır?","2","3","4","5","","B",4,"Diziler,Aritmetik Dizi","d=(16−4)/4=3","Matematik"
"Bir cismin hızı 3 m/s, ivmesi 2 m/s². 5 s sonunda aldığı yol?","35","40","45","50","","B",4,"Fiziksel Matematik,Hareket","x=v₀t+½at²=40","Matematik"
"y=−x²+4x+5 parabolünün tepe noktası ordinatı kaçtır?","7","8","9","10","","C",5,"Parabol,Analitik Geometri","x=−b/2a=2 ⇒ y=9","Matematik"
"Alanı 96, kısa kenarı 8 olan dikdörtgenin çevresi nedir?","28","30","32","40","","D",4,"Geometri,Dikdörtgen","Uzun kenar=12 ⇒ çevre=40","Matematik"
