soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,aciklama,ders_ad
"Osmanlı’da tımar sisteminin bozulmasıyla doğrudan hangi sonuç ortaya çıkmıştır?","Vergi gelirlerinde düzensizlik","Asker sayısının artması","Kapıkulu ocaklarının kapanması","Yeniçeri maaşlarının artması","","A",5,"Tarih,Osmanlı Kurumları","Tımar gelir temellidir; bozulması mali sistemi sarsmıştır.","Tarih"
"Kurtuluş Savaşı’nın ilk siyasi başarısı hangi antlaşmayla sağlanmıştır?","Gümrü","Lozan","Mudanya","Ankara","","A",5,"Tarih,Millî Mücadele","Ermenistan ile yapılan ilk antlaşmadır.","Tarih"
"Atatürk’ün ‘Hayatta en hakiki mürşit ilimdir.’ sözü hangi ilkeyle en yakından ilişkilidir?","Laiklik","Cumhuriyetçilik","Bilimsellik","Halkçılık","","C",5,"Tarih,Atatürk İlkeleri","Bilimsel düşünceye vurgu yapılmıştır.","Tarih"
"II. Meşrutiyet Dönemi’nde sansürün kaldırılması hangi sonucu doğurmuştur?","Basın özgürlüğü artmıştır.","Partiler kapanmıştır.","Meclis dağılmıştır.","Saltanat güçlenmiştir.","","A",5,"Tarih,1908 Dönemi","Fikir özgürlüğü ortamı oluşmuştur.","Tarih"
"Türk Tarih Tezi’nin amacı aşağıdakilerden hangisidir?","Türklerin uygarlığa katkısını göstermek","Avrupa üstünlüğünü savunmak","Osmanlıcılığı yaymak","Milliyetçiliği reddetmek","","A",5,"Tarih,Atatürk Dönemi","Türklerin bilimsel katkısını vurgular.","Tarih"
"Türkiye’de dört mevsimin belirgin yaşanması hangi konumla ilgilidir?","Matematik konum","Özel konum","Basınç farkı","Yükselti","","A",5,"Coğrafya,İklim","Enlem farkı nedeniyle sıcaklık değişir.","Coğrafya"
"Marmara Bölgesi’nde sanayinin yoğunlaşmasının temel nedeni nedir?","İklim","Sermaye ve ulaşım","Toprak verimi","Nüfus yoğunluğu","","B",5,"Coğrafya,Sanayi","Ulaşım ve sermaye altyapısı güçlüdür.","Coğrafya"
"Yerleşim alanlarının deprem riskine göre planlanması hangi kavramla ilgilidir?","Doğal çevreye uyum","Afet yönetimi","Beşerî coğrafya","Nüfus politikası","","A",5,"Coğrafya,Afet Bilinci","Doğal faktörlere uygun yaşam alanı seçimi.","Coğrafya"
"Karadeniz kıyılarında tarım alanlarının darlığının temel nedeni nedir?","Yer şekilleri","İklim","Toprak türü","Nüfus fazlalığı","","A",5,"Coğrafya,Doğal Faktörler","Dağların kıyıya paralel uzanması etkendir.","Coğrafya"
"Tarımda makineleşmenin artması en çok hangi sonucu doğurur?","Köyden kente göç artar.","Tarım alanı azalır.","Hayvancılık gelişir.","Toprak verimi düşer.","","A",5,"Coğrafya,Tarım","İş gücü fazlası şehre göç eder.","Coğrafya"
"Sokrates’in ‘Sorgulanmamış hayat yaşanmaya değmez.’ sözü aşağıdakilerden hangisini vurgular?","Eleştirel düşünme","Dogmatizm","Pozitivizm","İdealizm","","A",5,"Felsefe,Bilgi Felsefesi","Felsefenin sorgulayıcı yönü vurgulanmıştır.","Felsefe"
"Descartes’ın ‘Düşünüyorum, öyleyse varım.’ sözü hangi bilgi anlayışına dayanır?","Rasyonalizm","Empirizm","Pozitivizm","Sofizm","","A",5,"Felsefe,Bilgi Kuramı","Bilginin kaynağı akıldır.","Felsefe"
"Aristoteles’e göre erdemli davranışın ölçüsü nedir?","Aşırılıklardan kaçınmak","Mutlak itaat","Toplumun yargısı","Haz alımı","","A",5,"Felsefe,Ahlak","Erdem ‘orta yol’ kavramıyla açıklanır.","Felsefe"
"Epiküros’a göre mutluluğun kaynağı aşağıdakilerden hangisidir?","Haz","Bilgi","İnanç","Erdem","","A",5,"Felsefe,Etik","Haz ve acı dengesi mutluluğu sağlar.","Felsefe"
"Bilimsel bilginin en önemli özelliği nedir?","Deneysel olarak doğrulanabilirlik","İnanç temelli olması","Kesin olması","Geleneksel olması","","A",5,"Felsefe,Bilim Felsefesi","Bilim gözleme ve deneye dayanır.","Felsefe"
"Kur’an’da ‘adaletle hükmetmek’ emrinin temel amacı nedir?","Toplumsal güveni sağlamak","Devleti güçlendirmek","Zenginliği artırmak","Eğitimi teşvik etmek","","A",5,"Din Kültürü,Adalet","Adalet toplumsal düzeni korur.","Din Kültürü"
"Zekât ibadetinin toplumsal işlevi nedir?","Zengin-fakir dengesini sağlamak","Ticaret hacmini artırmak","Vergiyi azaltmak","Sosyal farklılığı büyütmek","","A",5,"Din Kültürü,İbadetler","Sosyal adalet ve paylaşımı sağlar.","Din Kültürü"
"Hac ibadetinin evrensel yönü aşağıdakilerden hangisidir?","Birlik ve kardeşlik bilincini pekiştirir.","Sadece Araplara özgüdür.","Yalnızca tarihi öneme sahiptir.","Zorunlu değildir.","","A",5,"Din Kültürü,Hac","İnsanları eşitlik duygusuyla birleştirir.","Din Kültürü"
"Farabi’ye göre ‘erdemli şehir’ aşağıdakilerden hangisiyle oluşur?","Bilge yöneticilerle","Zenginlikle","Kuvvetli orduyla","Ticaretle","","A",5,"İslam Felsefesi,Farabi","Bilge yöneticiler toplumun ahlakını şekillendirir.","Din Kültürü"
"Vahiy olgusunun amacı aşağıdakilerden hangisidir?","İnsana ahlaki rehberlik sağlamak","Bilimsel açıklama yapmak","Toplum kurmak","Doğayı yönetmek","","A",5,"Din Kültürü,İnanç","Vahiy insana doğru yolu gösterir.","Din Kültürü"
