soru_metni,sik_a,sik_b,sik_c,sik_d,sik_e,dogru_cevap,zorluk,konular,aciklama,ders_ad
"Bir cisim yatay zeminde sabit hızla hareket ediyorsa net kuvvet hakkında ne söylenebilir?","Sıfırdır.","Artmıştır.","Azalmıştır.","Sürtünmeden büyüktür.","","A",5,"Fizik,Kuvvet ve Hareket","Sabit hız ⇒ net kuvvet 0’dır.","Fizik"
"Bir dalganın frekansı iki katına çıkınca dalga boyu yarıya iniyorsa ortam için ne söylenebilir?","Dalga hızı sabit","Dalga hızı artmış","Dalga hızı azalmış","Dalga yayılmaz","","A",5,"Fizik,Dalga Hareketi","v=fλ; f↑ ⇒ λ↓, v sabit kalır.","Fizik"
"Bir cisim yukarı fırlatıldığında hava direnci artarsa en yüksek noktaya çıkma süresi nasıl değişir?","Artar","Azalır","Değişmez","İlk hıza bağlı olur","","B",5,"Fizik,Hareket","Direnç artışı hızı daha çabuk sıfırlar.","Fizik"
"Elektrik devresinde akım 2 katına çıkınca güç 4 katına çıkıyorsa direnç ne olur?","Sabit kalır","Yarıya iner","2 katına çıkar","Sıfır olur","","A",5,"Fizik,Elektrik","P=I²R formülünden R sabit kalır.","Fizik"
"Ses dalgası sıcaklık artınca daha hızlı yayılıyorsa değişen büyüklük nedir?","Basınç","Yoğunluk","Tanecik hızı","Dalga frekansı","","C",5,"Fizik,Ses","Sıcaklık artışı tanecik hızını artırır.","Fizik"
"Işık kırılmasında gelen ışın normalle arasındaki açı artarsa yansıyan açı nasıl değişir?","Artar","Azalır","Sabit kalır","Yansıma olmaz","","A",5,"Fizik,Optik","Yansıma açısı her zaman gelme açısına eşittir.","Fizik"
"Bir cismin potansiyel enerjisi 3 katına çıkarken kinetiği sabitse mekanik enerji?","Artar","Azalır","Sabit","Sıfır olur","","A",5,"Fizik,Enerji","Mekanik enerji toplamı artar.","Fizik"
"Elektron sayısı protondan fazla bir atomun yükü nedir?","Pozitif","Negatif","Nötr","Belirsiz","","B",5,"Kimya,Atom Yapısı","Elektron fazlası ⇒ anyon.","Kimya"
"Bir bileşikte atom oranı değişmiyorsa hangi yasa geçerlidir?","Sabit oranlar","Katlı oranlar","Kütlenin korunumu","Birleşen hacimler","","A",5,"Kimya,Madde Yapısı","Her bileşikte atom oranı sabittir.","Kimya"
"pH=2 olan bir çözeltinin pH=5 olana göre asidikliği kaç kat fazladır?","10","100","1000","3","","C",5,"Kimya,Asit-Baz","ΔpH=3 ⇒ 10³=1000 kat.","Kimya"
"Gazın hacmi iki katına çıkarken sıcaklık sabitse basınç ne olur?","İki kat artar","Yarıya iner","Sabit kalır","Dörde iner","","B",5,"Kimya,Gazlar","Boyle yasası: P∝1/V.","Kimya"
"Bir tepkimede sıcaklık artışı dengeyi endotermik yöne kaydırıyorsa tepkime nasıldır?","Endotermik","Egzotermik","İzotermik","Nötr","","A",5,"Kimya,Kimyasal Denge","Isı artışı ısı tüketen (endo) yöne iter.","Kimya"
"Bir elementin iyonlaşma enerjisi arttıkça atom yarıçapı nasıl değişir?","Artar","Azalır","Sabit kalır","Periyoda göre değişir","","B",5,"Kimya,Periyodik Sistem","Yarıçap azaldıkça iyonlaşma artar.","Kimya"
"Fotosentez tepkimesinde gerçekleşen enerji dönüşümü nedir?","Işık→Kimyasal","Kimyasal→Isı","Işık→Isı","Kimyasal→Elektrik","","A",5,"Biyoloji,Fotosentez","Işık enerjisi kimyasal enerjiye dönüşür.","Biyoloji"
"DNA’daki baz sırası değiştiğinde hangi olay gerçekleşir?","Mutasyon","Replikasyon","Transformasyon","Transkripsiyon","","A",5,"Biyoloji,Genetik","Baz değişimi genetik mutasyondur.","Biyoloji"
"Hücre zarının seçici geçirgenliği ne sağlar?","Madde geçişinin düzeni","Enerji üretimi","Protein sentezi","Enzim kontrolü","","A",5,"Biyoloji,Hücre","Madde alışverişini düzenler.","Biyoloji"
"Protein sentezi hücrede nerede gerçekleşir?","Ribozom","Mitokondri","Golgi","Kloroplast","","A",5,"Biyoloji,Protein Sentezi","Protein üretimi ribozomda olur.","Biyoloji"
"Solunumda açığa çıkan enerji hangi molekülde depolanır?","ATP","NADPH","DNA","Glikoz","","A",5,"Biyoloji,Hücre Solunumu","Enerji ATP formunda depolanır.","Biyoloji"
"Maddenin sıcaklığı artmadan ısı alması hangi olaydır?","Erime","Buharlaşma","Donma","Yoğuşma","","A",5,"Fizik,Madde ve Isı","Hal değişimi sırasında sıcaklık sabittir.","Fizik"
"Elektronların ortaklaşa kullanıldığı bağ türü nedir?","Kovalent","İyonik","Metal","Van der Waals","","A",5,"Kimya,Bağlar","Ortaklaşma ⇒ kovalent bağ.","Kimya"
